Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21121","Meat of chickens, fresh or chilled","2023","2023","1000 USD","24","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21113.01","Meat of pig with the bone, fresh or chilled","2023","2023","1000 USD","3","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21115","Meat of sheep, fresh or chilled","2023","2023","1000 USD","4","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F1172","Meat prepared n.e.c.","2023","2023","1000 USD","352","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","02910","Natural honey","2023","2023","1000 USD","4","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01950.02","Natural rubber in other forms","2023","2023","1000 USD","0","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","0117","Oats","2023","2023","1000 USD","0","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21691.12","Oil of linseed","2023","2023","1000 USD","9","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21691.02","Oil of maize","2023","2023","1000 USD","1","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2167","Olive oil","2023","2023","1000 USD","66","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","1000 USD","101","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21419.99","Other fruit n.e.c., dried","2023","2023","1000 USD","2","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","25090","Other manufactured tobacco and manufactured tobacco substitutes
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21183","Other meat and edible meat offal, salted, in brine, dried or smoked
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21119.90","Other meat of mammals, fresh or chilled","2023","2023","1000 USD","1594","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21691.90","Other oil of vegetable origin, crude n.e.c.","2023","2023","1000 USD","3","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01709.90","Other pulses n.e.c.","2023","2023","1000 USD","1466","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","1000 USD","105","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01290.90","Other vegetables, fresh n.e.c.","2023","2023","1000 USD","206","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2165","Palm oil","2023","2023","1000 USD","8750","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F0022","Pastry","2023","2023","1000 USD","1606","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01651","Pepper (Piper spp.), raw","2023","2023","1000 USD","25","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21181","Pig meat, cuts, salted, dried or smoked (bacon and ham)","2023","2023","1000 USD","1","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21411","Raisins","2023","2023","1000 USD","4","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01443","Rape or colza seed","2023","2023","1000 USD","3","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21641.01","Rapeseed or canola oil, crude","2023","2023","1000 USD","0","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2351f","Raw cane or beet sugar (centrifugal only)","2023","2023","1000 USD","6","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","02211","Raw milk of cattle","2023","2023","1000 USD","1159","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23520","Refined sugar","2023","2023","1000 USD","6587","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23161.02","Rice, milled","2023","2023","1000 USD","14866","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21184.02","Sausages and similar products of meat, offal or blood of pig","2023","2023","1000 USD","10","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","22212","Skim milk and whey powder","2023","2023","1000 USD","610","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","22221.02","Skim milk, evaporated","2023","2023","1000 USD","169","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2161","Soya bean oil","2023","2023","1000 USD","169","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23210.04","Sugar and syrups n.e.c.","2023","2023","1000 USD","229","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23670.01","Sugar confectionery","2023","2023","1000 USD","1112","E","Estimated value"
